Feature,Importance
high_risk_combo,0.1002597375349117
number_inpatient,0.09662526890103912
discharge_disposition_id,0.08963036233517792
severity_index,0.06658119532371602
frequent_flyer,0.060175214821309705
total_utilization,0.05854309976047866
num_lab_procedures,0.051300366463065836
medication_burden,0.04058822178089855
num_medications,0.0401067301991594
time_in_hospital,0.034515257431634624
age,0.03404425360614115
high_utilization,0.029114683062004005
number_diagnoses,0.025356860245124173
num_procedures,0.021639526699153467
number_emergency,0.021571459173212855
admission_type_id,0.017706867528374328
number_outpatient,0.017072291684325655
med_change_count,0.015239138522592363
comorbidity_count,0.015224301426960848
admission_source_id,0.014575448183577037
race,0.013383552155121959
has_diabetes,0.012190207413863813
A1Cresult,0.011393649270826913
has_respiratory,0.008891877640133085
has_circulatory,0.00875767906388655
high_diagnosis_burden,0.0085787029414812
gender,0.007634940982077355
metformin,0.007365076800338468
max_glu_serum,0.006425276827707979
insulin,0.00584686685240113
has_genitourinary,0.005825475593568808
uses_insulin,0.0055910378029121076
diabetes_med_flag,0.00546840203985015
glipizide,0.005367190826814442
diabetesMed,0.005298929875120359
change,0.005116999225385437
long_stay_risk,0.004554740023274199
rosiglitazone,0.004537428583726017
glyburide,0.0044151631925519585
pioglitazone,0.004108734153350844
glimepiride,0.003845744301129441
repaglinide,0.0023899104192538294
glyburide-metformin,0.001153265690241468
nateglinide,0.0009565512963607064
acarbose,0.0006826752001220495
chlorpropamide,0.00010944086136166942
tolazamide,9.664678994692345e-05
miglitol,7.328197126756318e-05
glipizide-metformin,3.7319115478525274e-05
tolbutamide,3.2151577752374206e-05
glimepiride-pioglitazone,7.968298352436647e-07
examide,0.0
